Recipe,English Name (If Applicable),Country Of Origin,Link,Meal Type,Seasonal,Added by,Data Cleaned
Sweet and sour red cabbage,N/A,Sweden,https://www.allrecipes.com/recipe/38030/sweet-and-sour-red-cabbage/,Side,None,Nick,1
Flygande Jacob,Flying Jacob,Sweden,https://www.food.com/recipe/flygande-jacob-flying-jacob-423172,Meal,None,Nick,1
Inkokt Lax,"Cold, poached salmon",Sweden,http://www.swedishfood.com/swedish-food-recipes-main-courses/184-salmon-cold-poached,Meal,None,Nick,1
Brunkål,Brown Cabbage,Sweden,http://www.swedishfood.com/swedish-food-recipes-side-dishes/442-brown-cabbage,Side,None,Nick,1
Kavring,Rye Loaf,Sweden,http://www.swedishfood.com/swedish-food-bread-recipes/525-kavring,Bread,None,Nick,1
Stekt strömming,Fried Herring,Sweden,http://www.swedishfood.com/swedish-food-recipes-main-courses/210-herring-fried,Main,None,Nick,1
blåbärssoppa,Blueberry Soup,Sweden,http://www.swedishfood.com/swedish-food-recipes-desserts/220-blueberry-soup,Dessert,None,Nick,1
Nyponsoppa,Rosehip soup,Sweden,http://www.swedishfood.com/swedish-food-recipes-desserts/217-rosehip-soup,Dessert,None,Nick,1
Blåbärssmulpaj,Bilberry Crumble,Sweden,http://www.swedishfood.com/swedish-food-recipes-desserts/526-bilberry-crumble,Dessert,None,Nick,1
Korvstroganoff,Sausage stroganoff,Sweden,http://www.swedishfood.com/swedish-food-recipes-main-courses/97-sausage-stroganoff,Main,None,Nick,1
Raggmunk,Potato Pancakes,Sweden,http://www.swedishfood.com/swedish-food-recipes-side-dishes/215-potato-pancakes,Side,None,Nick,1
Toast Skagen,Prawns on Toast,Sweden,http://www.swedishfood.com/swedish-food-recipes-starters/109-prawns-on-toast,Side,None,Nick,1
Knäckebröd,Rye Crisp Bread,Sweden,http://www.swedishfood.com/swedish-food-bread-recipes/301-rye-crispbread,Bread,None,Nick,1
Hasselbackspotatis,Hasselback Potatoes,Sweden,http://www.swedishfood.com/swedish-food-recipes-side-dishes/129-hasselback-potatoes,Side,None,Nick,1
Hönökaka,Isle of Hönö flatbread,Sweden,http://www.swedishfood.com/swedish-food-bread-recipes/196-honokaka,Bread,None,Nick,1
Inladg Sill,Pickled Herring,Sweden,http://www.swedishfood.com/swedish-food-recipes-starters/173-herring-pickled-various,Side,Christmas,Nick,1
Kåldomar,Stuffed Cabbage,Sweden,http://www.swedishfood.com/swedish-food-recipes-main-courses/126-cabbage-stuffed-rolls,Main,None,Nick,1
Janssons Frestelse,Jansson's Temptation,Sweden,http://www.swedishfood.com/swedish-food-recipes-main-courses/405-janssons,Main,Christmas,Nick,1
Kalops,Beef Stew,Sweden,https://www.food.com/recipe/kalops-swedish-beef-stew-425646,Main,Winter,Nick,1
Wallenbergare,Veal Burger,Sweden,http://www.swedishfood.com/swedish-food-recipes-main-courses/91-veal-burgers,Main,None,Nick,1
Julskinka,Christmas Ham,Sweden,http://www.swedishfood.com/swedish-food-recipes-main-courses/191-ham-christmas,Main,Christmas,Nick,1
Ärtsoppa,Pea Soup,Sweden,http://www.swedishfood.com/swedish-food-recipes-starters/134-pea-soup,Main,None,Nick,1
Kanelbullar,Cinamon Rolls,Sweden,https://www.food.com/recipe/cinnamon-rolls-kanelbullar-230106,Dessert,None,Nick,1
Våfflor,Waffles,Sweden,http://www.swedishfood.com/swedish-food-recipes-desserts/93-waffles,Dessert,None,Nick,1
Kladdkakka,Chocolate Cake,Sweden,https://www.food.com/recipe/swedish-sticky-chocolate-cake-kladdkaka-503491?ic1=suggestedAsset%7Ckladd,Dessert,None,Nick,1
Köttbullar,Swedish Meatballs,Sweden,https://www.food.com/recipe/swedish-meatballs-or-kottbullar-310753?ic1=suggestedAsset%7Ckottb,Main,None,Nick,1
Fruktsoppa,Fruit Soup,Sweden,https://www.food.com/recipe/fruktsoppa-scandinavian-fruit-soup-116044,Main,Various Holidays,Nick,1
Sillsalat,Herring Salad,Sweden,https://www.food.com/recipe/sillsalad-herring-salad-225538?ic1=suggestedAsset%7Csillsa#activity-feed,Side,Christmas,Nick,1
Gravlax,N/A,Sweden,https://www.food.com/recipe/gravlax-78346?ic1=suggestedAsset%7Cgravlax,Main,Christmas,Nick,1
Gubbröra,Old Man's Delight,Sweden,https://www.food.com/recipe/gentlemans-delight-gubbrora-101444?ic1=suggestedAsset%7Cgubb,Main,None,Nick,1
Espinacas con Garbonzos,Spinach with Garbonzo Beans,Spain,https://www.allrecipes.com/recipe/161535/espinacas-con-garbanzos-spinach-with-garbanzo-beans/?internalSource=hub%20recipe&referringContentType=Search,Main,None,Nick,1
Panelletes,Little Sweet Potato Bread,Spain,https://www.food.com/recipe/panallets-panellets-little-sweet-potato-bread-371609?ic1=suggestedAsset%7Cpanelle,Dessert,None,Nick,1
Bocadillo de queso y jamon,Ham and Cheese sandwich,Spain,https://www.food.com/recipe/bocadillo-spanish-ham-and-cheese-sandwiches-115971?ic1=suggestedAsset%7Cbocadillo#activity-feed,Main,None,Nick,1
Mojo Picon,Garlic Sauce,Spain,https://www.food.com/recipe/mojo-picon-garlic-sauce-31699?ic1=suggestedAsset%7Cmojo,Sauce,None,Nick,1
CROQUETAS DE ATÚN,Tuna balls,Spain,https://www.food.com/recipe/croquetas-de-at-n-tuna-fish-balls-484120?ic1=suggestedAsset%7Ccroquetas,Side,None,Nick,1
Roscón de Reyes,Twelfth Night Bread,Spain,https://www.food.com/recipe/spanish-roscon-de-reyes-twelfth-night-bread-274628?ic1=suggestedAsset%7Croscon#activity-feed,Dessert,Three Kings Day,Nick,1
Sopa de Albóndigas,Meatball soup,Spain,https://www.food.com/recipe/sopa-de-albondigas-83890?ic1=suggestedAsset%7Csopa%20de,Main,None,Nick,1
Sofrito,Sofrito,Spain,https://www.food.com/recipe/sofrito-sauce-49997?ic1=suggestedAsset%7Csofrito,Sauce,None,Nick,1
Empanadas,Empanadas,Spain,https://www.allrecipes.com/recipe/215231/empanadas-beef-turnovers/?internalSource=hub%20recipe&referringContentType=Search,Main,None,Nick,1
Croquetas de papa,Potato croquettes,Spain,https://www.food.com/recipe/potato-croquetas-with-saffron-aioli-spain-369660?ic1=suggestedAsset%7Ccroquetas,Main,None,Nick,1
MONTADITO DE TORTILLA DE PATATAS,Open faced potato sandwich,Spain,https://www.food.com/recipe/montadito-de-tortilla-de-patatas-potato-omelette-open-faced-sa-475591?ic1=suggestedAsset%7Cmontadito,Side,None,Nick,1
Gambas a la sal,Salt cooked shrimp,Spain,https://www.food.com/recipe/salt-cooked-shrimp-gambas-a-la-sal-366210?ic1=suggestedAsset%7Cgambas%20a%20la,Side,None,Nick,1
Pan con Tomate,Bread with Tomato,Spain,https://www.food.com/recipe/pan-con-tomate-197709?ic1=suggestedAsset%7Cpan%20con,Side,None,Nick,1
Arroz con pollo,Rice with chicken,Spain,https://www.food.com/recipe/arroz-con-pollo-1-dish-meal-159911?ic1=suggestedAsset%7Carroz%20con,Main,None,Nick,1
Natillas,N/A,Spain,https://www.food.com/recipe/natillas-447437?ic1=suggestedAsset%7Cnatil,Dessert,None,Nick,1
Arroz con huevos,Rice and eggs,Spain,https://www.food.com/recipe/arroz-con-huevos-rice-with-eggs-351056?ic1=suggestedAsset%7Carroz%20con%20hue,Main,None,Nick,1
Pinchitos,Meat skewers,Spain,https://www.food.com/recipe/andalucian-pinchitos-morunos-moorish-saffron-meat-skewers-227243?ic1=suggestedAsset%7Cpinchitos,Main,None,Nick,1
Paella Catalana,Catalan Paella,Spain,https://www.food.com/recipe/paella-a-la-catalonia-28027?ic1=suggestedAsset%7Cpaella%20ca,Main,None,Nick,1
Marmitako,Basque fish stew,Spain,https://www.food.com/recipe/marmitako-basque-fish-stew-371614?ic1=suggestedAsset%7Cmarmita,Main,None,Nick,1
Pisto,Spanish Vegetable Stir Fry,Spain,https://www.food.com/recipe/pisto-spanish-vegetable-stir-fry-315405?ic1=suggestedAsset%7Cpisto,Main,None,Nick,1
Ajo Blanco,Garlic Soup,Spain,https://www.food.com/recipe/ajo-blanco-garlic-and-almond-soup-434113?ic1=suggestedAsset%7Cajo%20bl,Main,None,Nick,1
Croquetas de jamón,Ham croquettes,Spain,https://www.food.com/recipe/croquetas-de-jamon-ham-croquettes-391900?ic1=suggestedAsset%7Ccroquetas%20de,Main,None,Nick,1
Rosquillas,Spanish Donuts,Spain,https://www.food.com/recipe/rosquillas-spanish-doughnuts-107386?ic1=suggestedAsset%7Crosqui,Dessert,Semana Santa,Nick,1
Ensalada Russa,Russian Salad,Spain,https://www.food.com/recipe/ensalada-russa-summer-salad-51475?ic1=suggestedAsset%7Censalada%20ru,Main,None,Nick,1
Gambas al ajillo,Garlic Shrimp,Spain,https://www.food.com/recipe/gambas-al-ajillo-168202?ic1=suggestedAsset%7Cgambas%20al%20aji,Appetizer,None,Nick,1
Cocido Madrileño,N/A,Spain,https://www.food.com/recipe/spanish-cocido-46802?ic1=suggestedAsset%7Ccocido,Main,None,Nick,1
Pollo al ajillo,Garlic Chicken,Spain,https://www.food.com/recipe/pollo-al-ajillo-136957?ic1=suggestedAsset%7Cpollo%20al%20ajil,Main,None,Nick,1
Pulpo a la Gallega,Galician Octopus,Spain,https://www.food.com/recipe/pulpo-a-la-gallega-60083?ic1=suggestedAsset%7Cpulpo%20a,Main,None,Nick,1
Escalivada,N/A,Spain,https://www.food.com/recipe/escalivada-eggplant-salad-with-onions-and-peppers-370866?ic1=suggestedAsset%7Cescali,Side,None,Nick,1
Fabada Asturiana,N/A,Spain,https://www.food.com/recipe/fabada-austurianas-376944?ic1=suggestedAsset%7Cfaba,Main,Winter,Nick,1
Dorayaki,Sweet filled pancakes,Japan,https://www.food.com/recipe/dorayaki-171406?ic1=suggestedAsset%7Cdoraya,Dessert,None,Nick,1
Chankonabe,Beef and chicken hot pot,Japan,https://www.food.com/recipe/tachiyama-chanko-nabe-beef-and-chicken-hot-pot-374173?ic1=suggestedAsset%7Cchanko,Main,None,Nick,1
Yaki Udon,N/A,Japan,https://www.food.com/recipe/yaki-udon-243964?ic1=suggestedAsset%7Cyaki%20ud,Main,None,Nick,1
Unagi Kaba-yaki,Japanese BBQ eel,Japan,https://www.food.com/recipe/japanese-barbecued-eel-unagi-kaba-yaki-478327?ic1=suggestedAsset%7Cunagi,Main,None,Nick,1
Yuba,Tofu Skin,Japan,https://www.food.com/recipe/fresh-homemade-yuba-tofu-skin-264732?ic1=suggestedAsset%7Cyuba,Main,None,Nick,1
Zenzai,N/A,Japan,https://www.food.com/recipe/zenzai-dango-in-azuki-312691?ic1=suggestedAsset%7Czenzai,Dessert,None,Nick,1
Takoyaki,Octopus Balls,Japan,https://www.food.com/recipe/takoyaki-octopus-balls-224391?ic1=suggestedAsset%7Ctakoyaki,Side,None,Nick,1
Okinawa Soba,N/A,Japan,https://www.food.com/recipe/okinawa-soba-531414?ic1=suggestedAsset%7Cokinawa%20soba,Main,None,Nick,1
Temaki,Sushi Cones,Japan,https://www.food.com/recipe/sushi-cones-temaki-393023?ic1=suggestedAsset%7Ctemaki,Main,None,Nick,1
Katsudon,N/A,Japan,https://www.food.com/recipe/katsudon-61838?ic1=suggestedAsset%7Ckatsu,Main,None,Nick,1
Tamagoyaki,Japanese Omlette,Japan,https://www.food.com/recipe/tamagoyaki-with-green-onions-and-ham-289491?ic1=suggestedAsset%7Ctamagoyaki,Main,None,Nick,1
Tsukemono,"lit. ""Pickled Things"", Cabbage Salad",Japan,https://www.food.com/recipe/tsukemono-japanese-cabbage-salad-196101?ic1=suggestedAsset%7Ctsukemono,Side,None,Nick,1
Okonomiyaki,N/A - Similar to an omlette or pancake,Japan,https://www.food.com/recipe/okonomiyaki-532674?ic1=suggestedAsset%7Cokono,Main,None,Nick,1
Nikuman,Pork Bun,Japan,https://www.food.com/recipe/nikuman-butaman-pork-bun-225697?ic1=suggestedAsset%7Cnikum,Main,Winter,Nick,1
Ebi Nigiri,Shrimp Nigiri,Japan,https://www.food.com/recipe/ebi-nigiri-shirmp-522881?ic1=suggestedAsset%7Cebi%20f,Main,None,Nick,1
Kare Udon,Curry Udon,Japan,https://www.food.com/recipe/curry-chicken-udon-121494?ic1=suggestedAsset%7Ccurry%20udon,Main,Winter,Nick,1
Korokke,Japanese potato croquettes,Japan,https://www.food.com/recipe/korokke-japanese-potato-croquettes-144480?ic1=suggestedAsset%7Ckorokke,Main,None,Nick,1
Miso Ramen,N/A,Japan,https://www.food.com/recipe/miso-ramen-soup-292646?ic1=suggestedAsset%7Cmiso%20ra,Main,None,Nick,1
Dango,N/A,Japan,https://www.food.com/recipe/zenzai-dango-in-azuki-312691?ic1=suggestedAsset%7Cdango,Dessert,None,Nick,1
Shoyu Ramen,N/A,Japan,https://www.food.com/recipe/shoyu-ramen-279842?ic1=suggestedAsset%7Cshoyu%20ra,Main,None,Nick,1
Shitake no Nimono,Sweet Simmered Mushrooms,Japan,https://www.food.com/recipe/sweet-simmered-mushrooms-shiitake-no-nimono-514359?ic1=suggestedAsset%7Cnimono,Main,None,Nick,1
Kasutera,Japanese Sponge Cake,Japan,https://www.food.com/recipe/japanese-sponge-cake-kasutera-178671?ic1=suggestedAsset%7Ckasutera,Dessert,None,Nick,1
Omurice,Rice Omelette,Japan,https://www.food.com/recipe/omurice-japanese-style-omelette-and-rice-513083?ic1=suggestedAsset%7Comurice,Main,None,Nick,1
Yakitori,Grilled Skewers,Japan,https://www.food.com/recipe/yakitori-74844?ic1=suggestedAsset%7Cyakitori,Main,None,Nick,1
Karaage,Japanese Fried Chicken,Japan,https://www.food.com/recipe/japanese-fried-chicken-karaage-with-onion-ginger-relish-205621?ic1=suggestedAsset%7Ckaraage,Main,None,Nick,1
Gyuudon,Beef Bowl,Japan,https://www.food.com/recipe/gyudon-beef-bowl-533766?ic1=suggestedAsset%7Cgyu,Main,None,Nick,1
Chashu,Braised Pork Belly,Japan,https://www.food.com/recipe/chashu-527181?ic1=suggestedAsset%7Cchash,Main,None,Nick,1
Tonkotsu Ramen,Pork Bone Ramen,Japan,https://www.food.com/recipe/tonkotsu-pork-bone-ramen-459582?ic1=suggestedAsset%7Ctonkotsu,Main,None,Nick,1
Teppanyaki Chicken,Hibachi Chicken,Japan,https://www.food.com/recipe/teppanyaki-306197?ic1=suggestedAsset%7Cteppany,Main,None,Nick,1
Strawberry Daifuku,N/A,Japan,https://www.food.com/recipe/strawberry-daifuku-110762?ic1=suggestedAsset%7Cdaifu,Dessert,None,Nick,1
Ensalada Criolla,Creole salad,Argentina,https://www.food.com/recipe/ensalada-criolla-536382?ic1=suggestedAsset%7Censalada%20cr,Main,None,Nick,1
Sorrentino de pollo,Chicken Sorentino,Argentina,https://www.food.com/recipe/chicken-sorrentino-fusilli-475527?ic1=suggestedAsset%7Csorrentino,Main,None,Nick,1
Tamales,N/A,Argentina,https://www.food.com/recipe/traditional-tamales-pork-15286?ic1=suggestedAsset%7Ctamale,Main,None,Nick,1
Cazuela Gaucho,Chicken Stew,Argentina,https://www.food.com/recipe/argentine-chicken-stew-cazuela-gaucho-13502?ic1=suggestedAsset%7Ccazuela,Main,None,Nick,1
Argentine Empanada,N/A,Argentina,https://www.allrecipes.com/recipe/12512/argentine-meat-empanadas/?internalSource=hub%20recipe&referringContentType=Search,Main,None,Nick,1
Bolas de Fraile,Balls of Weakness,Argentina,https://www.recetasgratis.net/receta-de-bolas-de-fraile-o-berlinesas-73975.html,Dessert,None,Nick,1
Costillas de cerdo a la riojana,Grilled Pork Ribs and Fries,Argentina,https://www.recetasgratis.net/receta-de-costillas-de-cerdo-a-la-riojana-72703.html,Main,None,Nick,1
Empanada árabe,Arabian Empanadas,Argentina,https://www.recetasgratis.net/receta-de-empanada-arabe-o-fatay-7469.html,Main,None,Nick,1
Berenjenas en Escabeche,Lit. Eggplant in Marinade,Argentina,https://www.recetasgratis.net/receta-de-berenjenas-en-escabeche-con-verduras-52150.html,Side,None,Nick,1
Pacú Asado,Grilled Pacú,Argentina,https://www.recetasgratis.net/receta-de-pacu-asado-45934.html,Main,None,Nick,1
Torta Negra Galesa,Welsh Black Cake,Argentina,https://www.recetasgratis.net/receta-de-torta-negra-13689.html,Dessert,None,Nick,1
Huevos en Colchón de arvejas,Lit. Eggs in a pea mattress,Argentina,https://www.recetasgratis.net/receta-de-huevos-en-colchon-de-arvejas-7783.html,Main,None,Nick,1
Guiso,N/A - Type of Vegetable Stew,Argentina,https://www.food.com/recipe/guiso-304479?ic1=suggestedAsset%7Cguiso,Main,None,Nick,1
Milhojas de Dulce de Leche,N/A,Argentina,https://www.food.com/recipe/milhojas-de-dulce-de-leche-argentina-468824?ic1=suggestedAsset%7Cmilhojas,Dessert,None,Nick,1
Carbonada Criolla,Argentine Vegetable Meat Stew,Argentina,https://www.food.com/recipe/carbonada-criolla-argentina-meat-veg-fruit-stew-456864?ic1=suggestedAsset%7Ccarbonada%20criolla,Main,None,Nick,1
Milanesa de peceto,Breaded Fried Steak,Argentina,https://www.food.com/recipe/breaded-fried-steak-milanesa-517531?ic1=suggestedAsset%7Cmilanesa,Main,None,Nick,1
Chupín de pescado,Fish Stew,Argentina,https://www.recetasgratis.net/receta-de-chupin-de-pescado-22150.html,Main,None,Nick,1
Dorada a la Plancha,Grilled Dorado fish,Argentina,https://www.recetasgratis.net/receta-de-dorada-a-la-plancha-58767.html,Main,None,Nick,1
Trucha a la Plancha,Grilled trout,Argentina,https://www.recetasgratis.net/receta-de-trucha-a-la-plancha-73013.html,Main,None,Nick,1
Fainá,Chickpea Flatbread,Argentina,https://www.recetasgratis.net/receta-de-faina-de-garbanzos-12172.html,Main,None,Nick,1
Tomates Rellenos,Stuffed Tomatoes,Argentina,https://www.food.com/recipe/tomates-rellenos-tapas-369143?ic1=suggestedAsset%7Ctomates%20rel,Side,None,Nick,1
Asado de Tira,Beef Ribs,Argentina,https://www.recetasgratis.net/receta-de-asado-de-tira-74141.html,Main,None,Nick,1
Chocotorta,No bake chocolate cake,Argentina,https://www.recetasgratis.net/receta-de-chocotorta-argentina-55640.html,Dessert,None,Nick,1
Matambre,Argentine Skirt Steak,Argentina,https://www.food.com/recipe/argentina-skirt-steak-matambre-456478?ic1=suggestedAsset%7Cmatambre,Main,None,Nick,1
Matambre Relleno,Stuffed Meat,Argentina,https://www.recetasgratis.net/receta-de-matambre-relleno-20514.html,Main,None,Nick,1
Pastafrola,Tart,Argentina,https://www.recetasgratis.net/receta-de-pasta-frola-facil-y-economica-35082.html,Dessert,None,Nick,1
Fugazza,Argentine pizza,Argentina,https://www.food.com/recipe/fugazza-61818?ic1=suggestedAsset%7Cfugaz,Main,None,Nick,1
Fugazzeta,Mozzarella stuffed pizza,Argentina,https://www.recetasgratis.net/receta-de-pizza-fugazzeta-7208.html,Main,None,Nick,1
Locro,Argentine Stew,Argentina,https://www.food.com/recipe/locro-con-papas-argentina-244510?ic1=suggestedAsset%7Clocro,Main,None,Nick,1
Dulce de Leche,N/A,Argentina,https://www.food.com/recipe/dulce-de-leche-19142?ic1=suggestedAsset%7Cdulce%20de,Dessert,None,Nick,1
Stromboli,N/A,USA,https://www.food.com/recipe/stromboli-54691?ic1=suggestedAsset%7Cstromboli,Main,None,Nick,1
Grits,N/A,USA,https://www.food.com/recipe/southern-grits-90322?ic1=suggestedAsset%7Cgrits,Main,None,Nick,1
Salisbury Steak,N/A,USA,https://www.food.com/recipe/salisbury-steak-29833?ic1=suggestedAsset%7Csalisbury,Main,None,Nick,1
Bread Pudding,N/A,USA,https://www.food.com/recipe/bread-pudding-52349?ic1=suggestedAsset%7Cbread%20pudding,Dessert,None,Nick,1
Macaroni Salad,N/A,USA,https://www.food.com/recipe/macaroni-salad-63733?ic1=suggestedAsset%7Cmacaroni%20sa,Main,None,Nick,1
Mac and Cheese,N/A,USA,https://www.food.com/recipe/easy-stove-top-macaroni-cheese-60350?ic1=suggestedAsset%7Cmacaroni,Main,None,Nick,1
Chop Suey,N/A,USA,https://www.food.com/recipe/american-chop-suey-416373?ic1=suggestedAsset%7Cchop%20suey,Main,None,Nick,1
Corn Bread,N/A,USA,https://www.food.com/recipe/cornbread-109767?ic1=suggestedAsset%7Ccornb,Main,None,Nick,1
Beignets,N/A,USA,https://www.food.com/recipe/beignets-86144?ic1=suggestedAsset%7Cbeign,Dessert,None,Nick,1
Fried Chicken Waffles,N/A,USA,https://www.food.com/recipe/fried-chicken-waffles-519921?ic1=suggestedAsset%7Cchicken%20and%20waffl,Main,None,Nick,1
Baked Ziti,N/A,USA,https://www.food.com/recipe/baked-ziti-38669?ic1=suggestedAsset%7Cziti,Main,None,Nick,1
Surf and Turf,N/A,USA,https://www.food.com/recipe/surf-and-turf-barbecue-skewers-153041?ic1=suggestedAsset%7Csurf%20and%20turf,Main,None,Nick,1
Club Sandwich,N/A,USA,https://www.food.com/recipe/club-sandwich-113369?ic1=suggestedAsset%7Cclub%20sand,Main,None,Nick,1
Chicken Fried Steak,N/A,USA,https://www.food.com/recipe/chicken-fried-steak-and-cream-gravy-314186,Main,None,Nick,1
Banana Bread,N/A,USA,https://www.food.com/recipe/best-banana-bread-2886?ic1=suggestedAsset%7Cbanana%20bread,Main,None,Nick,1
Banana Cream Pie,N/A,USA,https://www.food.com/recipe/old-fashioned-banana-cream-pie-14979?ic1=suggestedAsset%7Ccream%20pi,Dessert,None,Nick,1
Clam Chowder,N/A,USA,https://www.food.com/recipe/thick-and-creamy-new-england-clam-chowder-52272?ic1=suggestedAsset%7Cclam%20ch,Main,None,Nick,1
Pernil,Pork Shoulder,USA,https://www.food.com/recipe/pernil-puerto-rican-pork-shoulder-115565?ic1=suggestedAsset%7Cperni,Main,None,Nick,1
Key Lime Bars,N/A,USA,https://www.food.com/recipe/key-lime-bars-15788,Dessert,None,Nick,1
Philly Cheesesteak,N/A,USA,https://www.food.com/recipe/philly-cheesesteak-sandwich-49924?ic1=suggestedAsset%7Ccheeseste,Main,None,Nick,1
Lobster Roll,N/A,USA,https://www.food.com/recipe/lobster-rolls-37081?ic1=suggestedAsset%7Clobster%20ro,Main,None,Nick,1
Eggs Benedict,N/A,USA,https://www.food.com/recipe/eggs-benedict-cups-106668?ic1=suggestedAsset%7Ceggs%20ben,Main,None,Nick,1
Buffalo Wings,N/A,USA,https://www.food.com/recipe/unbelievable-baked-buffalo-wings-155021?ic1=suggestedAsset%7Cbuffalo%20wi,Main,None,Nick,1
Pot Roast,N/A,USA,https://www.food.com/recipe/tender-pot-roast-22137?ic1=suggestedAsset%7Cpot%20roa,Main,None,Nick,1
